Athlete;Total;100m;Longueur;Poids;Hauteur;400m;110mHaies;Disque;Perche;Javelot;1500m
Warner;9018;10.12;8.24;14.80;2.02;47.48;13.46;48.67;4.90;63.44;271.08
Mayer;8726;10.68;7.50;15.07;2.08;50.31;13.90;48.08;5.20;73.09;283.17
Moloney;8649;10.34;7.64;14.49;2.11;46.29;14.08;44.38;5.00;57.12;279.19
Scantling;8611;10.67;7.30;15.59;1.99;48.25;14.03;45.46;5.10;69.10;275.54
Lepage;8604;10.43;7.65;15.31;1.99;46.92;14.39;47.14;5.00;57.24;271.85
Ziemek;8435;10.55;7.20;14.99;2.05;49.06;14.51;44.87;5.30;60.44;278.38
Victor;8414;10.67;7.24;15.39;2.02;49.21;14.83;49.75;4.90;71.56;294.32
Shkurenyov;8413;10.93;7.59;14.95;1.99;48.98;14.43;47.02;5.10;60.95;274.62
Urena;8322;10.66;7.30;13.97;2.05;48.00;14.13;43.70;4.90;55.82;267.82
Bastien;8236;10.69;7.39;14.40;2.05;47.64;14.42;40.77;4.60;58.21;266.95
Erm;8213;11.04;7.36;14.60;1.99;48.25;14.55;45.72;4.80;58.41;268.42
Wiesiolek;8176;10.83;7.27;14.90;2.02;48.24;14.95;48.27;4.80;51.60;270.02
Zhuk;8131;11.04;6.93;16.23;1.96;49.22;14.95;47.01;5.10;59.49;282.57
Kazmirek;8126;11.09;7.48;14.46;2.02;48.17;14.73;42.70;4.80;63.76;288.30
Uibo;8037;11.32;7.37;13.95;2.02;50.82;14.83;46.38;5.50;50.64;278.64
Helcelet;8004;11.06;7.16;14.99;1.96;49.41;14.35;45.40;4.60;61.54;284.74
Sykora;7943;11.18;7.03;14.63;1.90;48.89;14.48;49.90;4.60;63.73;294.97
Santos;7880;10.58;7.38;14.13;2.02;49.31;14.58;39.91;4.60;54.56;294.97
Roe;7863;10.86;7.03;13.98;1.96;50.93;15.47;48.37;4.80;62.28;287.58
